页码,微博id,用户昵称,发布时间,转发数,评论数,点赞数,微博内容,图片链接,网页链接
1,3343375159879450,贵州都市报,2011年08月06日 12:50,0,2,0,【前夜昨晨 贵阳普降大雨】8月4日19时许开始，持续到8月5日清晨6时，贵州省贵阳市人工影响天气作业指挥中心抓住有利天气作业，实施人工增雨抗旱减灾作业25炮箭次，使用炮弹34发，火箭弹29枚，在自然降雨和人工增雨的助力下，贵阳市普降大雨，局部暴雨，个别乡镇大暴雨。O网页链接 ​,无图片,http://t.cn/a8ntLf
1,3344782806702994,沐甜科技,2011年08月10日 10:03,0,0,0,【国内新闻】广西实施大规模人工增雨作业缓解旱情O网页链接 ​,无图片,http://t.cn/aR0cxA
1,3345489299700958,江西日报,2011年08月12日 08:51,0,0,0,【看气象人员如何打炮“呼风唤雨”。 】近年来，暴雨、干旱、高温、大雾、沙尘等极端天气日益频繁出现，人工影响天气也被越来越多的人所熟悉。8月9日，本报记者进入颇有几分神秘色彩的人工增雨现场，见证和领略了火箭弹的“呼风唤雨”。 O网页链接 ​,https://ww3.sinaimg.cn/orj360/76ae208bgw1dk2h7m8hqej.jpg,http://t.cn/aRFTCo
1,3347162855722887,一根龍須麵,2011年08月16日 23:41,0,0,0,//@宋英杰:Q降水机理：裸云是实现降雨及人工增雨的前提。,无图片,//weibo.com/n/%E5%AE%8B%E8%8B%B1%E6%9D%B0
1,3347401997815078,北京红都集团公司官方微博,2011年08月17日 15:31,1,0,0,有趣//@宋英杰：Q降水机理：裸云是实现降雨及人工增雨的前提。,无图片,//weibo.com/n/%E5%AE%8B%E8%8B%B1%E6%9D%B0
1,3349575863657211,五洲图片库,2011年08月23日 15:29,0,0,0,"重庆市永川区气象局工作人员抓住降雨云层从西南方向快速越过永川的有利时机，同时在三教、黄瓜山、临江等3个高炮作业点和2个移动作业点实施火箭高炮人工增雨作业，共发射88发高炮弹和4枚火箭弹。 欣赏更多精彩图片,请访问五洲图片库 O网页链接 ​",https://ww3.sinaimg.cn/orj360/75173f77jw1dkfil1uhv6j.jpg,http://t.cn/hBth3P
1,3349492713772233,南昌资讯,2011年08月23日 09:59,0,1,0,#南昌天气#【江西本周雷阵雨天气增多】江西省一周以来的高温笼罩将在雷阵雨中得到缓和。预计从２３日起的５天内全省雷阵雨天气增多，高温导致的局部地区旱情将得到缓解。提醒各地、各有关部门特别是户外活动、田间劳动者要注意防御强雷电等灾害；水资源不足的地方可抓住有利天气条件开展人工增雨作业。 ​,无图片,https://s.weibo.com/weibo?q=%23%E5%8D%97%E6%98%8C%E5%A4%A9%E6%B0%94%23
1,3349899807243429,月亮之光188,2011年08月24日 12:56,0,0,0,贵州施秉开展人工增雨作业以缓解旱情_图片频道_新华网 O网页链接 救命雨 ​,https://ww4.sinaimg.cn/orj360/8800291cjw1dkgjsfb73hj.jpg,http://t.cn/amCqQX
1,3349848594809540,贵阳晚报官方微博,2011年08月24日 09:33,1,1,0,“甘霖”有限难解渴——昨日，我省大部分地区迎来久违降雨，其中3县56个乡镇降下暴雨、大暴雨。我省也适时进行了人工增雨。由于降雨量有限，我省旱情仍旧持续，中旱以上县市增至81个，旱情已经造成我省500多万人饮水困难。 O网页链接 ​,无图片,http://t.cn/amoPDW
1,3352121752654779,胖酷网,2011年08月30日 16:06,0,0,0,【胖酷网 汕头】最近一个月来，我市各地以晴热天气为主，想要人工增雨都难。记者昨天了解到，今年以来，我市降水量严重偏少了约5成，目前部分地区旱情还较为严重。据悉，市气象部门将密切监视旱情动态及天气状况，抓住有利时机适时开展人工增雨，以缓解旱情.O网页链接 ​,无图片,http://t.cn/aukpVL
1,3352080012020856,延边风采微博,2011年08月30日 13:20,1,0,0,受副热带高压后部弱切变及人工增雨作业共同影响，28日起我省出现明显降水天气，其中中南部雨量较大，8月28日2时到29日7时，集安的米架子等15乡镇出现暴雨；通化市区等8个市县及70个乡镇出现大雨。全省过程降水量前五 ... O网页链接 ​,无图片,http://t.cn/auexJr
1,3353688500985468,当代生活报,2011年09月03日 23:51,7,5,0,#您知道么？今天的雨是人工降雨啦#【广西看天“脸色”向天索雨】“下雨了！”今日早上，不少市民发现，一场夜雨过后，八桂大地暑气尽消，空气格外清新。其实，这是广西人工影响天气部门开展了一次大规模人工增雨作业。7月1日至9月2日，全区平均降水量比常年同期偏少近5成，达到了1951年以来同期最少。 ​,https://ww4.sinaimg.cn/orj360/82de35abgw1dksmwrh5yqj.jpg,/weibo?q=%23%E6%82%A8%E7%9F%A5%E9%81%93%E4%B9%88%EF%BC%9F%E4%BB%8A%E5%A4%A9%E7%9A%84%E9%9B%A8%E6%98%AF%E4%BA%BA%E5%B7%A5%E9%99%8D%E9%9B%A8%E5%95%A6%23
1,3354212554334680,贵州商报官方微博,2011年09月05日 10:34,1,0,0,【终于下雨了 可惜下得不够爽】  对于十余天没有下雨的贵阳的来说，昨日下午的一场雨可谓是久违了。16时许，天空开始下雨，18时左右结束，我省多地也伺机开展了人工增雨作业，个别乡镇土壤墒情得到一定改善，但对全省的旱情缓解作用不是很明显。详情查看：O网页链接 ​,https://ww2.sinaimg.cn/orj360/79dd819egw1dkub3k6rsdj.jpg,http://t.cn/a1LkNY
1,3354630743058949,会泽热线,2011年09月06日 14:15,1,0,0,会泽县大规模人工增雨缓解旱情 面对严峻旱情，会泽气象局于8月4日和19日先后启动干旱三级和二级应急预案，24小时值班，关注当日旱情，加强天气会商，监视天气变化，做好气象服务和增雨抗旱工作，一有机会，就立即实施人工增雨作业，缓解旱情，效果明显。O网页链接 ​,无图片,http://t.cn/a1izQh
1,3355084299308376,资中在线,2011年09月07日 20:18,0,0,0,发表了一篇新文章：内江市积极组织人工增雨缓解旱情 O网页链接 ​,无图片,http://t.cn/a1YEJS
