微博链接,页码,微博id,用户昵称,发布时间,转发数,评论数,点赞数,微博内容,图片链接,网页链接
https://weibo.com/2257500342/FCmCZy0rc?refer_flag=1001030103_,1,4191434498104838,西安气象,2018年01月01日 17:35,2,6,5,#唐妞报天气# 受高原槽前暖湿气流与低层偏东风回流共同影响，我市有一次较强的雨雪天气过程。市人工影响天气办公室已发布人工增雨雪作业指令，将抓住有利时机开展地面人工增雨雪作业，并积极主动对接省人影办，协调调用省增雨飞机适时增加西安区域作业航线开展立体飞机增雨（雪）作业，改善空气质量，缓解旱情。在自然和人工因素共同影响下，具体预报如下：今天晚上:阴天间多云，明天白天：阴天转雨夹雪，1～3℃；明晚到3日：中雪转大雪，秦岭山区局地有暴雪，-2～1℃；4日：中雪转小雪，-4～0℃。 收起d,[],[]
https://weibo.com/6068931218/FCm5G6a12?refer_flag=1001030103_,1,4191413841468472,天Q亦YYY,2018年01月01日 16:13,0,0,0,"【人工增雨来洗天 巴城重现巴中蓝】12月24日，我市发布了2017年-2018年冬春季以来第一轮重污染天气黄色预警。12月29日中午，巴中市、区（县）两级气象部门抓住有利天气条件，在巴州区大茅坪镇孟家村作业点、通江县民胜鹦鸽嘴村作业点组织开展人工增雨作业，助力缓解全市重污染天气。此次共实施人工增雨作业4箭/次，共发射WR-1D弹14枚，作业影响范围覆盖了巴中市西南部，作业后影响区内普降小雨,有效缓解了巴城空气污染。    今天上午，久违的巴中蓝重现巴城。预计今晚到明天白天多云，气温3到10℃。 收起d",['https://wx4.sinaimg.cn/orj360/8ee23874gy1fmyrzavpolj20m80go3zj.jpg'],[]
https://weibo.com/2898285324/FCxn42DQc?refer_flag=1001030103_,1,4191847460629808,多少楼台烟雨中009,2018年01月02日 20:56,2,1,3,#这里是西安#【最新 | 黄色暴雪预警！西安人工增雪，流感病菌将被吞噬！】西安市人工影响天气办公室已发布人工增雨雪作业指令，将抓住有利时机开展地面人工增雨雪作业，并积极主动对接省人影办，协调调用省增雨飞机适时增加西安区域作业航线开展立体飞机增雨（雪）作业，改善空气质量，缓解旱情。目前预计，在自然和人工因素共同影响下，西安今天白天：阴天转雨夹雪，1~3℃；今晚到3日：中雪转大雪，秦岭山区局地有暴雪，-2~1℃；4日：中雪转小雪，-4~0℃；5日阴天转小雪，6-7日阴天有小雪。受冷空气影响，西安市日平均气温下降8℃左右，最低气温将出现在5日早晨，城区最低气温-5℃左右，区县最低气温-7℃左右。详情戳链接O网页链接 收起d,[],['http://t.cn/RHjlcrj']
https://weibo.com/5273760237/FCwcY7jzL?refer_flag=1001030103_,1,4191802761743549,璧山气象,2018年01月02日 17:58,0,0,0,"璧山区人降办作业公告：接市人影办“蓝天行动”人工增雨作业通知,要求我区人降办抓住1月2日夜间开始的降雨天气过程，伺机开展人工增雨作业，改善空气质量，提请广大群众注意安全，如发现异常情况，请及时报告区人降办。联系电话 41421223。【重庆市璧山区人工降雨防雹办公室】 ​",[],[]
https://weibo.com/5083132536/FCvVDbq4s?refer_flag=1001030103_,1,4191792012721828,西安浐灞国际港,2018年01月02日 17:15,0,0,1,#陆港·微服务# #人影作业通告及天气预报# 受高原槽前暖湿气流与低层偏东风回流共同影响，今晚到4日上午我市有一次较强的降雪、降温过程。市人工影响天气办公室积极组织实施增雪作业，截止16时共燃烧碘化银烟条5根，发射火箭弹4枚，省人影办增雨飞机15:02起飞，作业区域铜川、西安和渭南，计划飞行2小时。在自然和人工因素共同影响下，具体预报如下：今天晚上:阴天有小雪，3日：阴天有大雪，秦岭山区有暴雪，-2～1℃；4日：小雪转阴天，-4～-3℃；5日：阴天，-7～-5℃。@西安气象 收起d,['https://wx3.sinaimg.cn/orj360/005y0iYEgy1fn2drbxp4yg306o06oac7.jpg'],[]
https://weibo.com/2257500342/FCvED8pIX?refer_flag=1001030103_,2,4191781472005511,西安气象,2018年01月02日 16:34,5,9,8,#人影作业通告及天气预报# 受高原槽前暖湿气流与低层偏东风回流共同影响，今晚到4日上午我市有一次较强的降雪、降温过程。市人工影响天气办公室积极组织实施增雪作业，截止16时共燃烧碘化银烟条5根，发射火箭弹4枚，省人影办增雨飞机15:02起飞，作业区域铜川、西安和渭南，计划飞行2小时。在自然和人工因素共同影响下，具体预报如下：今天晚上:阴天有小雪，3日：阴天有大雪，秦岭山区有暴雪，-2～1℃；4日：小雪转阴天，-4～-3℃；5日：阴天，-7～-5℃。 收起d,['https://wx3.sinaimg.cn/orj360/868eb8b6ly1fn2ck9a5qag206o06oac7.jpg'],[]
https://weibo.com/1116846745/FCvqOc5Bt?refer_flag=1001030103_,2,4191772902881479,泗县发布,2018年01月02日 16:00,15,5,7,#泗县气象#人工增雨（雪）作业公告为缓解当前旱情及促进环境保护，我局将在长沟镇、屏山镇等地实施火箭人工增雨（雪）作业。作业时段为O1月2日18时至4日20时 。作业时，作业点100米范围内严禁闲杂人员进入。作业点10公里范围内是落弹区，如发现未燃火箭弹，请不要靠近，不可擅自拆除、搬动，请及时与县气象局联系，以便妥善处置。联系电话：18949978057特此公告泗县气象局                         2018年1月2日 收起d,[],['http://t.cn/RHl81pw']
https://weibo.com/3206929472/FCvlVlU1W?refer_flag=1001030103_,2,4191769875220272,江西新闻广播,2018年01月02日 15:48,1,0,0,"【未来一周我省将迎入冬以来最强低温阴雨天气】预计元月3～8号，有两次冷空气先后影响我省，将出现入冬以来最强阶段性低温阴雨天气，7号赣北北部雨转雨夹雪或小雪，8号、9号早晨赣北北部将有冰冻。3～9号日平均气温将下降5～7℃，赣北北部将由6～8℃降至零下1℃～1℃，赣南由9～11℃降至3～5℃，其他地区将降至1～3℃。专家提醒,受阶段性低温阴雨天气影响，8号、9号赣北北部浅水和潮湿地面将出现道路结冰，应加强交通安全管理。本次低温阴雨天气持续时间较长、降温幅度大，需做好禽畜圈舍、设施大棚内的温湿调控；及时清理油菜、绿肥等田块的三沟，防渍害。缺水地区各地可抓住近期有利时机，适时开展人工增雨作业，改善空气质量，增蓄生产生活和生态用水。 收起d",[],[]
https://weibo.com/6092981956/FCuIGdNa9?refer_flag=1001030103_,2,4191745543287249,渭南小崔,2018年01月02日 14:11,0,0,1,#2017城市记忆#【今晚大范围雨雪将至 省人影办做好人工增雨作业准备】从今晚开始，陕北南部关中北部将出现小雪，关中南部陕南以雨夹雪为主，明天白天降雪量增强，陕北地区、西安、渭南、铜川将迎大雪，关中西部陕南迎来暴雪，明天夜间局地迎来大暴雪天气，降雪至4号夜间陆续结束。 ​,"['https://wx2.sinaimg.cn/thumb150/006ElwWwly1fn28fr0qo7j30q20ign4k.jpg', 'https://wx4.sinaimg.cn/thumb150/006ElwWwly1fn28frflhgj30q20ign3s.jpg']",[]
https://weibo.com/6092981956/FCuIrsMaJ?refer_flag=1001030103_,2,4191745396858361,渭南小崔,2018年01月02日 14:10,0,0,0,#渭南身边事#【今晚大范围雨雪将至 省人影办做好人工增雨作业准备】从今晚开始，陕北南部关中北部将出现小雪，关中南部陕南以雨夹雪为主，明天白天降雪量增强，陕北地区、西安、渭南、铜川将迎大雪，关中西部陕南迎来暴雪，明天夜间局地迎来大暴雪天气，降雪至4号夜间陆续结束。 ​,"['https://wx2.sinaimg.cn/thumb150/006ElwWwly1fn28f23ak7j30q20igq56.jpg', 'https://wx3.sinaimg.cn/thumb150/006ElwWwly1fn28f2hgedj30q20ig76d.jpg']",[]
