微博链接,页码,微博id,用户昵称,发布时间,转发数,评论数,点赞数,微博内容,图片链接,网页链接
https://weibo.com/5078113498/FCnSatVRf?refer_flag=1001030103_,1,4191482347133921,巨鹿发布,2018年01月01日 20:45,0,0,1,#巨鹿播报#  【巨鹿局受省气象局全省通报表扬】       近日，河北省气象局发文，对全省气象系统省级以上文明单位和精神文明建设先进单位进行通报表彰，巨鹿气象局保持了省级精神文明单位称号，受到全省通报表扬。       党的十八大以来，巨鹿县气象局认真培育和践行社会主义核心价值观，大力推进社会主义精神文明建设，始终把精神文明创建工作当作推动气象事业发展的重要载体，摆到全局中心工作的重要位置来抓，通过加强组织领导、建章立制，全员参与，来开展各类精神文明创建活动，不断丰富精神文明创建工作的内涵，提升了文明创建工作层次，文明创建也促进气象工作开展。       今年以来，气象局先后获得全市气象行业职能大赛人工影响天气比武团体第二名、邢台市市级科普先进单位、邢台市优秀志愿者品牌、巨鹿县亮点工作先进单位等荣誉称号。全局呈现了和谐稳定，人心思进，文明向善的良好局面。 收起d,[],[]
https://weibo.com/2455876487/FCnfcvQCl?refer_flag=1001030103_,1,4191458187590433,沙江春晓,2018年01月01日 19:09,0,0,0,受冷暖空气共同影响，预计2日后半夜开始我市自南向北将出现一次大范围降雪天气过程，4日夜间降雪结束。受另一股冷空气影响，6～7日，我市将可能再次出现降雪天气，气象部门将根据天气情况，适时开展人工增雪作业。 ​​​,['https://wx4.sinaimg.cn/orj360/9261b387ly1fn1bfnsu10j20ds0ig41g.jpg'],[]
https://weibo.com/2257500342/FCmCZy0rc?refer_flag=1001030103_,1,4191434498104838,西安气象,2018年01月01日 17:35,2,6,5,#唐妞报天气# 受高原槽前暖湿气流与低层偏东风回流共同影响，我市有一次较强的雨雪天气过程。市人工影响天气办公室已发布人工增雨雪作业指令，将抓住有利时机开展地面人工增雨雪作业，并积极主动对接省人影办，协调调用省增雨飞机适时增加西安区域作业航线开展立体飞机增雨（雪）作业，改善空气质量，缓解旱情。在自然和人工因素共同影响下，具体预报如下：今天晚上:阴天间多云，明天白天：阴天转雨夹雪，1～3℃；明晚到3日：中雪转大雪，秦岭山区局地有暴雪，-2～1℃；4日：中雪转小雪，-4～0℃。 收起d,[],[]
https://weibo.com/3765563700/FCykmwILQ?refer_flag=1001030103_,1,4191884227798598,扶风宣传,2018年01月02日 23:22,7,5,28,扶风县人工影响天气办公室抓住有利天气，积极开展地面人工增雨雪作业，截止目前，已在城关街道万阳村发射人工增雪火箭弹12枚。 ​,"['https://wx3.sinaimg.cn/thumb150/e071f134gy1fn2ocuy0bbj20zk0qo42i.jpg', 'https://wx1.sinaimg.cn/thumb150/e071f134gy1fn2ocvurlsj20zk0qotdo.jpg', 'https://wx4.sinaimg.cn/thumb150/e071f134gy1fn2oczbggvj20zk0qodld.jpg', 'https://wx3.sinaimg.cn/thumb150/e071f134gy1fn2od01wa9j20zk0qogor.jpg']",[]
https://weibo.com/3460096640/FCxX27IdU?refer_flag=1001030103_,1,4191869761838294,生态日照,2018年01月02日 22:24,2,2,3,"受暖湿气流和冷空气共同影响，预计3日夜间到到4日夜间，我市将出现一次较明显的降雪天气过程。  过程降雪量可达中雪，局部大雪。  市政府人工影响天气办公室将择机在全市范围内流动实施人工增雪作业。  受冷空气影响，3～6日我市气温将持续较低,最低气温出现在5～6日早晨，沿海-4℃，内陆-7℃。",['https://wx4.sinaimg.cn/orj360/ce3ce280ly1fn2mp0xld7j205003bq3l.jpg'],[]
https://weibo.com/6032569187/FCxwhznFK?refer_flag=1001030103_,1,4191853178432480,魅力大西安,2018年01月02日 21:19,0,0,3,人工影响天气，机会难得//@评论阿强:力度好大啊,"['https://wx3.sinaimg.cn/thumb150/006Ag2P1ly1fn2k8fcnh3j30ku0fmdim.jpg', 'https://wx1.sinaimg.cn/thumb150/006Ag2P1ly1fn2k8ee8mhj30hs0dcgnm.jpg', 'https://wx3.sinaimg.cn/thumb150/006Ag2P1ly1fn2k8ev1i7j30hs0dcmyc.jpg', 'https://wx1.sinaimg.cn/thumb150/006Ag2P1ly1fn2k8fsdc9j30ku0m8jts.jpg', 'https://wx2.sinaimg.cn/thumb150/006Ag2P1ly1fn2kb2c3g4j30c806wgm2.jpg', 'https://wx2.sinaimg.cn/thumb150/006Ag2P1ly1fn2k8j3075j30hs0a03z9.jpg', 'https://wx1.sinaimg.cn/thumb150/006Ag2P1ly1fn2k8h8uuxj30qo0zk10m.jpg', 'https://wx1.sinaimg.cn/thumb150/006Ag2P1ly1fn2k8hzdxpj30qo10j79i.jpg', 'https://wx1.sinaimg.cn/thumb150/006Ag2P1ly1fn2k8inqtoj31be0qoago.jpg']",[]
https://weibo.com/2898285324/FCxn42DQc?refer_flag=1001030103_,1,4191847460629808,多少楼台烟雨中009,2018年01月02日 20:56,2,1,3,#这里是西安#【最新 | 黄色暴雪预警！西安人工增雪，流感病菌将被吞噬！】西安市人工影响天气办公室已发布人工增雨雪作业指令，将抓住有利时机开展地面人工增雨雪作业，并积极主动对接省人影办，协调调用省增雨飞机适时增加西安区域作业航线开展立体飞机增雨（雪）作业，改善空气质量，缓解旱情。目前预计，在自然和人工因素共同影响下，西安今天白天：阴天转雨夹雪，1~3℃；今晚到3日：中雪转大雪，秦岭山区局地有暴雪，-2~1℃；4日：中雪转小雪，-4~0℃；5日阴天转小雪，6-7日阴天有小雪。受冷空气影响，西安市日平均气温下降8℃左右，最低气温将出现在5日早晨，城区最低气温-5℃左右，区县最低气温-7℃左右。详情戳链接O网页链接 收起d,[],['http://t.cn/RHjlcrj']
https://weibo.com/1225318702/FCx2m8Sc4?refer_flag=1001030103_,1,4191834622114948,李尚网来的李,2018年01月02日 20:05,1,0,1,"#日照身边事#【日照气象局发布重要天气公告！局部大雪！】受暖湿气流和冷空气共同影响，预计3日夜间到到4日夜间，日照市将出现一次较明显的降雪天气过程。过程降雪量可达中雪，局部大雪。日照市政府人工影响天气办公室将择机在全市范围内流动实施人工增雪作业。受冷空气影响，3～6日#日照#市气温将持续较低,最低气温出现在5～6日早晨，沿海-4℃，内陆-7℃。 收起d",['https://wx1.sinaimg.cn/orj360/4908e12ely1fn2inyz5mvj20ez0fidk3.jpg'],[]
https://weibo.com/3460096640/FCwtRnTqT?refer_flag=1001030103_,1,4191813235694631,生态日照,2018年01月02日 18:40,1,1,1,"市政府人工影响天气办公室将择机在全市范围内流动实施人工增雪作业。受冷空气影响，3～6日我市气温将持续较低,最低气温出现在5～6日早晨，沿海-4℃，内陆-7℃。",['https://wx4.sinaimg.cn/orj360/ce3ce280ly1fn2dn8o65ij20qo15643v.jpg'],[]
https://weibo.com/2245955301/FCweYgRmm?refer_flag=1001030103_,2,4191804004018366,阳泉交警二大队,2018年01月02日 18:03,1,0,0,#天气预警# 【新年伊始！阳泉将迎来2018年第一场雪】据@阳泉气象：受冷暖空气共同影响，预计2日后半夜开始我市自南向北将出现一次大范围降雪天气过程，4日夜间降雪结束。受另一股冷空气影响，6～7日，我市将可能再次出现降雪天气，气象部门将根据天气情况，适时开展人工增雪作业。 ​​​​,['https://wx1.sinaimg.cn/orj360/85de8ee5ly1fn2f5f0ejbj20ds0ig42k.jpg'],[]
