微博链接,页码,微博id,用户昵称,发布时间,转发数,评论数,点赞数,微博内容,图片链接,网页链接
https://weibo.com/2257500342/FCmCZy0rc?refer_flag=1001030103_,1,4191434498104838,西安气象,2018年01月01日 17:35,2,6,5,#唐妞报天气# 受高原槽前暖湿气流与低层偏东风回流共同影响，我市有一次较强的雨雪天气过程。市人工影响天气办公室已发布人工增雨雪作业指令，将抓住有利时机开展地面人工增雨雪作业，并积极主动对接省人影办，协调调用省增雨飞机适时增加西安区域作业航线开展立体飞机增雨（雪）作业，改善空气质量，缓解旱情。在自然和人工因素共同影响下，具体预报如下：今天晚上:阴天间多云，明天白天：阴天转雨夹雪，1～3℃；明晚到3日：中雪转大雪，秦岭山区局地有暴雪，-2～1℃；4日：中雪转小雪，-4～0℃。 收起d,[],[]
https://weibo.com/2998934450/FCxT1CdZI?refer_flag=1001030103_,1,4191867279110262,成都气象,2018年01月02日 22:15,1,3,4,【人影通报】成都市气象局发布人影作业通报：成都市人影办于2018年1月2日开展飞机增雨作业，作业时间19时10分--21时50分，飞行作业区域：广汉-彭州-都江堰-大邑-蒲江-眉山-天府新区-简阳-广汉。 ​,[],[]
https://weibo.com/2898285324/FCxn42DQc?refer_flag=1001030103_,1,4191847460629808,多少楼台烟雨中009,2018年01月02日 20:56,2,1,3,#这里是西安#【最新 | 黄色暴雪预警！西安人工增雪，流感病菌将被吞噬！】西安市人工影响天气办公室已发布人工增雨雪作业指令，将抓住有利时机开展地面人工增雨雪作业，并积极主动对接省人影办，协调调用省增雨飞机适时增加西安区域作业航线开展立体飞机增雨（雪）作业，改善空气质量，缓解旱情。目前预计，在自然和人工因素共同影响下，西安今天白天：阴天转雨夹雪，1~3℃；今晚到3日：中雪转大雪，秦岭山区局地有暴雪，-2~1℃；4日：中雪转小雪，-4~0℃；5日阴天转小雪，6-7日阴天有小雪。受冷空气影响，西安市日平均气温下降8℃左右，最低气温将出现在5日早晨，城区最低气温-5℃左右，区县最低气温-7℃左右。详情戳链接O网页链接 收起d,[],['http://t.cn/RHjlcrj']
https://weibo.com/2070457803/FCwsj4jDa?refer_flag=1001030103_,1,4191812271028776,微铜川,2018年01月02日 18:36,0,0,2,#铜川热点#  【铜川2018年这场大雪，原来有他们在天上作业...】根据作业条件及空域管制要求，第二架次航线作业区域铜川、西安、渭南。飞机已于15:02分起飞。 ​2018年首场雨雪天气过程，省人影办专程协调空军和通航公司调用运十二增雨雪专业飞机一架，首架次飞机作业已于2日10时17分起飞，作业区域包括铜川、宝鸡、渭南、咸阳。根据人影作业条件分析，第二架次作业将于14时起飞，作业计划包括宝鸡、咸阳、西安、渭南。 收起d,"['https://wx3.sinaimg.cn/thumb150/7b68adcbgy1fn2g3k2m6aj20c8096t9p.jpg', 'https://wx2.sinaimg.cn/thumb150/7b68adcbgy1fn2g3k2ewrj20c80as3zf.jpg']",[]
https://weibo.com/2070457803/FCwoxCMMN?refer_flag=1001030103_,1,4191809939244001,微铜川,2018年01月02日 18:27,0,0,1,#铜川热点# 铜川将迎今冬最强降雪！连下3天！-8℃冷空气即将上线了，2018年首场雨雪天气过程，省人影办专程协调空军和通航公司调用运十二增雨雪作业，作业区域包括铜川、宝鸡、渭南、咸阳。,[],[]
https://weibo.com/5273760237/FCwcY7jzL?refer_flag=1001030103_,1,4191802761743549,璧山气象,2018年01月02日 17:58,0,0,0,"璧山区人降办作业公告：接市人影办“蓝天行动”人工增雨作业通知,要求我区人降办抓住1月2日夜间开始的降雨天气过程，伺机开展人工增雨作业，改善空气质量，提请广大群众注意安全，如发现异常情况，请及时报告区人降办。联系电话 41421223。【重庆市璧山区人工降雨防雹办公室】 ​",[],[]
https://weibo.com/5083132536/FCvVDbq4s?refer_flag=1001030103_,1,4191792012721828,西安浐灞国际港,2018年01月02日 17:15,0,0,1,#陆港·微服务# #人影作业通告及天气预报# 受高原槽前暖湿气流与低层偏东风回流共同影响，今晚到4日上午我市有一次较强的降雪、降温过程。市人工影响天气办公室积极组织实施增雪作业，截止16时共燃烧碘化银烟条5根，发射火箭弹4枚，省人影办增雨飞机15:02起飞，作业区域铜川、西安和渭南，计划飞行2小时。在自然和人工因素共同影响下，具体预报如下：今天晚上:阴天有小雪，3日：阴天有大雪，秦岭山区有暴雪，-2～1℃；4日：小雪转阴天，-4～-3℃；5日：阴天，-7～-5℃。@西安气象 收起d,['https://wx3.sinaimg.cn/orj360/005y0iYEgy1fn2drbxp4yg306o06oac7.jpg'],[]
https://weibo.com/2257500342/FCvED8pIX?refer_flag=1001030103_,1,4191781472005511,西安气象,2018年01月02日 16:34,5,9,8,#人影作业通告及天气预报# 受高原槽前暖湿气流与低层偏东风回流共同影响，今晚到4日上午我市有一次较强的降雪、降温过程。市人工影响天气办公室积极组织实施增雪作业，截止16时共燃烧碘化银烟条5根，发射火箭弹4枚，省人影办增雨飞机15:02起飞，作业区域铜川、西安和渭南，计划飞行2小时。在自然和人工因素共同影响下，具体预报如下：今天晚上:阴天有小雪，3日：阴天有大雪，秦岭山区有暴雪，-2～1℃；4日：小雪转阴天，-4～-3℃；5日：阴天，-7～-5℃。 收起d,['https://wx3.sinaimg.cn/orj360/868eb8b6ly1fn2ck9a5qag206o06oac7.jpg'],[]
https://weibo.com/6410540401/FCvA7zeZV?refer_flag=1001030103_,2,4191778678399135,中卫天天事,2018年01月02日 16:22,0,0,1,#宁夏身边事# #中卫身边事# @中卫同城   本周我区将迎新年第一场雪1月2日-4日全区阴有小雪，贺兰山沿山和固原市大部有中雪，部分地区有大雪，气温有所下降；1月5日-6日全区大部有小雪，过程降温6℃左右；1月7日-9日全区大部有4-5级偏北风。具体预报为：1月2日，全区阴，吴忠市东南部、中卫市、固原市有小雪，最高气温零下3℃到0℃，最低气温零下6℃到零下11℃；1月3日，全区阴，贺兰山沿山、固原市大部有中雪，其他地区有小雪，降雪过后，最高气温零下5℃到零下7℃，最低气温零下9℃到零下14℃；1月4日，全区阴，贺兰山沿山、固原市东南部有中雪，其他地区有小雪，全区大部有4级左右偏南风；1月5日，全区阴，下午到夜间大部有小雪；1月6日，全区阴，大部有小雪；1月7日，全区阴转多云，大部有4-5级偏北风；1月8日，全区多云转晴，大部有4-5级偏北风；1月9日，全区晴间多云，大部有4-5级偏北风。我区各级人影部门已做好人工增雪准备工作，将适时开展增雪作业，尽最大可能净化空气，改善空气质量。来源：宁夏新消息报 收起d,[],[]
https://weibo.com/3192774515/FCvxmw6B5?refer_flag=1001030103_,2,4191776967651859,同心气象,2018年01月02日 16:16,0,0,1,"预计本周同心县有降雪降温天气　一、近期天气预报据最新气象资料分析，本周我县多冷空气活动，受其影响1月2-6日，全县将有连阴雪天气，降雪时段主要在3日清晨到4日清晨，全县大部乡镇累计降雪量可达小到中雪；5日下午至6日，我县又有一次小雪天气；5-7日，全县气温下降6℃左右，8日清晨，全县最低温度在-18-14℃之间；7-10日，全县有4-5级偏北风。具体预报如下：1月2日，全县阴有小雪，偏东风2到3级，气温-10到-3度：1月3日，全县有小到中雪，偏东风3到4级,气温-9到0度；1月4日，全县小到中雪转阴,偏南风3转5级,气温-11到-1度；1月5日，全县阴转小雪,偏北风2到3级,气温-11到-4度；1月6日，全县小雪转阴,偏北风2转4级,气温-14到-6度；1月7日-10日，全县阴转多云或多云到晴，大部乡镇有4～5级偏北风。二、对策建议全县出现大范围降雪降温天气，有利于增加土壤墒情、抑制病菌越冬、降低森林草原火险等级和净化空气，但对交通运输和设施农业生产等有不利影响。建议：1.防范降雪、结冰对交通运输的不利影响。本次过程降雪范围广，降雪量级较大，可能造成道路积雪、结冰，相关部门需及时清雪除冰，尤其要注意降雪对城市运行和高等级公路、山区道路的影响。2.加强设施农业生产管理。本次持续阴雪降温及刮风天气将造成设施温棚光照不足、室温降低。各乡镇需加强设施温棚管理；雪后及时清扫棚面，增加透光度；补光措施，保障棚内作物正常生长。3.做好持续低温天气的防范应对工作。本周我县冷空气活动频繁，气温持续下降，8日清晨全县最低气温在-18-14℃之间。需做好供暖、供电、供气等保障工作；卫生防疫部门需做好感冒等呼吸道疾病及心脑血管疾病高发多发的防范应对工作。4.各乡镇人影作业点做好人工增雪各项准备工作，适时开展增雪作业，尽最大可能净化空气改善空气质量。 收起d",[],[]
