微博链接,页码,微博id,用户昵称,发布时间,转发数,评论数,点赞数,微博内容,图片链接,网页链接
https://weibo.com/1264481411/xkXpRvBX3?refer_flag=1001030103_,1,3349949597534057,秤砣-network,2011年08月24日 16:14,1,1,0,回复@人影办主任:说实话，味道真的很不错。连我这多年糖尿病都禁不住诱惑吃了一块。 //@人影办主任:味道怎么样,['https://ww1.sinaimg.cn/orj360/4b5e7483jw1dkgp4ddrbyj.jpg'],[]
https://weibo.com/1264481411/xmwdN8xzC?refer_flag=1001030103_,1,3353670792035684,秤砣-network,2011年09月03日 22:41,2,0,0,太形象了！！！ //@人影办主任:转发微博。,[],[]
https://weibo.com/2319391914/xmMav6BjG?refer_flag=1001030103_,1,3354283791573416,酿艺-张斌,2011年09月05日 15:17,0,0,0,#泸州高温伤不起#一篇报道 说是泸州降雨推迟到6日傍晚，我嘞个去哟~！一点都不给力，天天盼下雨。哎 今年完全搞不懂这个泸州天气了。但天气预报也说了 这次降温会让最高温度不过30℃！OHMYGA~温差大 市人影办已经准备好200枚火箭弹实施人工辅助降雨，这个消息很给力啊！200枚火箭弹 嘿嘿 多有劲的！ ​,[],[]
https://weibo.com/1264782967/xoqUNcXow?refer_flag=1001030103_,1,3358233373088252,大道电影,2011年09月16日 12:51,3,8,0,@芳菲小猪 的桌面。大房刚被我娶了，丫又盯上了老三@姚慧媛caroyuan 。幸亏老二@吴晓雪_ita 早跟人奔了！@人影办主任 @绝尘焰 @network-微慑力 ​,['https://ww1.sinaimg.cn/orj360/4b630e77jw1dl74vx6ybbj.jpg'],[]
https://weibo.com/1899227237/xudzYo5CG?refer_flag=1001030103_,1,3372020425741490,青岛早报,2011年10月24日 13:56,2,2,0,#“运七”住青岛播下首场雨 飞机增雨将常态化#昨天下午，市人工影响天气办公室租用成都军区的“运七”飞机，根据云层条件组织了一次试验性飞机增雨作业。记者了解到，市人影办已经在运作我市的人工增雨专机，以往火箭弹或高炮在市区作业的空白，将得到弥补，作业面积也将进一步扩大。 ​,['https://ww2.sinaimg.cn/orj360/7133e865tw1dmf4b11cwdj.jpg'],[]
https://weibo.com/2203659104/xuceV8CFD?refer_flag=1001030103_,1,3371968932055277,宿州气象,2011年10月24日 10:31,0,0,0,【雨量实况】10月22—23日市人影办采用固定加流动的方式实施了高炮、火箭人工增雨作业。雨量实况显示：10月22日20时至今日（24日）08时，全市雨量普遍在15—30毫米之间，基本解除秋播墒情不足问题，对冬小麦苗期生长十分有利。 ​,[],[]
https://weibo.com/2139231275/xvzfhklMN?refer_flag=1001030103_,1,3375236554850309,树的素描,2011年11月02日 10:56,0,0,0,人影办 = 人工影响天气办公室 ​,[],[]
https://weibo.com/1749768003/xwVHWBbfa?refer_flag=1001030103_,1,3378483288861360,关羽在此尔等受死,2011年11月11日 09:57,0,0,0,吃屎的人影办,[],[]
https://weibo.com/2065625733/xxIAUg2yS?refer_flag=1001030103_,1,3380362483823098,王军--骥野,2011年11月16日 14:24,0,1,0,回复 @姗姗来迟的那个姗姗:人工影响天气办公室？ //@姗姗来迟的那个姗姗:说到简称，想起之前看的一篇新闻，北京新出了一个“人影办”，你猜这个单位的全称是什么？ //@王军--骥野: //@武器吴琦:欲望动机。简称“欲机”。治病的思路就是“别姬”。哈哈,[],[]
https://weibo.com/1730201947/xAD1hEuCk?refer_flag=1001030103_,1,3387298039650816,喀什气象,2011年12月05日 17:44,0,0,0,【人影作业公告】12月5～9日为人工影响天气增雪作业期，在此期间可能在喀什地区疏附、疏勒、伽师、英吉沙、岳普湖、麦盖提、巴楚、莎车等县进行火箭人工增雪作业。作业半径15km范围内为弹着点区域，作业期间尽量不要进入此区域，作业时更不要围观。特此公告！喀什地区人影办电话：0998-2503005。 ​,[],[]
https://weibo.com/1654424264/xDOEDBLkR?refer_flag=1001030103_,1,3394895119000097,鑫美嘉家具全屋定制15663480238,2011年12月26日 16:52,0,0,0,#成都天空黑漆漆地震后遗症# 据四川省专业气象台工作人员介绍，今天成都空气中悬浮物较多，刚好碰到湿度大、风速小、静风的天气，便不利于悬浮颗粒的扩散和稀释，从而导致雾霾天气的形成。成都市气象局人影办工作人员介绍，目前人工降雨的各项准备也已 O网页链接 ​,[],['http://t.cn/SMwhaa']
https://weibo.com/1881953084/xDOhdAXJi?refer_flag=1001030103_,1,3394880598809412,小胜哥钟胜,2011年12月26日 15:54,0,4,0,//@天府早报: 省专业气象台工作人员介绍，今天成都空气中悬浮物较多，刚好碰到湿度大、风速小、静风的天气，便不利于悬浮颗粒的扩散和稀释，从而导致雾霾天气的形成。成都市气象局人影办工作人员介绍，目前人工降雨的各项准备也已做好，待到气候条件成熟，将立即实施人工降雨，控制污染早报记者 吕澜希,[],[]
https://weibo.com/1957761283/y1lF4DrDs?refer_flag=1001030103_,1,3403215989401026,西安气象青年,2012年01月18日 15:56,0,7,0,我市人影办拟于2012年1月18-22日在全市范围内采用火箭进行人工增雪（雨）作业。如有人发现人影作业使用的催化器具残留物，请勿擅自处理，应维护好现场，并及时与当地人影办（市气象局院内）联系，由市人影办统一收集处理。 ​,[],[]
https://weibo.com/1569901041/y1wVKAM4N?refer_flag=1001030103_,1,3403649168764617,陕西虎牙,2012年01月19日 20:37,0,1,0,最近的预报都不准，不是有人影办呢么，都干嘛去了，多好的降雪条件为什么不打几发炮弹。以前下点雨都经常听他们吹是他们打下来的，现在干嘛去了。。。。。。,['https://ww4.sinaimg.cn/orj360/6d146ea8jw1dp7uvh4r64j.jpg'],[]
https://weibo.com/1215503577/y3j009Z7T?refer_flag=1001030103_,1,3407880202379925,于荣健,2012年01月31日 12:50,3,9,0,昨天崂山区雪下得大些，电梯里同事告诉我，这里面还有“人影办”的功劳，另一同事说，不管有没有功劳，反正先说出去，好要钱啊。这事我一琢磨，人与老天之间的关系，说到底，好象还是人与人之间的关系。你们猜猜这“人影办”的全称？ ​,[],[]
https://weibo.com/1770336695/y5OZ4EIkZ?refer_flag=1001030103_,1,3413876269703557,江南都市网,2012年02月17日 01:56,0,0,0,10次飞机人工增雨作业为森林“消火气” 今年以来我省飞机人工增雨约4.3亿吨 地面火箭弹增雨约600万吨 飞机上天“翻云覆雨”，给地上的森林“消火气”。记者昨日从省人工影响天气领导小组办公室（简称“省人影办”）获悉，今年以来，我省抓住 O网页链接 ​,[],['http://t.cn/zO2Q8QM']
https://weibo.com/2045200842/yahKFzos9?refer_flag=1001030103_,1,3424515218435481,日照黄海网,2012年03月17日 10:31,0,0,0,【日照实施人工增雨 为春耕生产注入生机】15日19时30分至16日凌晨，市人影办抓住时机人工增雨，发射增雨火箭弹62枚。截止到今天08时，东港区平均降水14.7毫米、开发区12.0毫米、岚山区18.3毫米、莒县5.5毫米、五莲6.3毫米。此次降水改善了土壤墒情和生态环境，降低了森林火险等级，净化了空气。 ​,['https://ww4.sinaimg.cn/orj360/79e749catw1dr2l900jnuj.jpg'],[]
https://weibo.com/2318036525/yaWawtLHH?refer_flag=1001030103_,1,3426068847094889,济源气象,2012年03月21日 17:25,1,2,0,3月21日济源市人影办根据天气不失时机地进行人工增雨作业。下图为济源市气象局人影炮手正在实施的人工增雨作业 ​,['https://ww1.sinaimg.cn/orj360/8a2a6e2djw1dr7jkvrqx2j.jpg'],[]
https://weibo.com/2318036525/yaTwNr8mN?refer_flag=1001030103_,1,3425967336467021,济源气象,2012年03月21日 10:42,3,0,0,济源市人影办目前正在全市范围内进行人工增雨雪作业，听到炮声请大家不要恐慌！ ​,[],[]
https://weibo.com/1561618165/yb58TmcJY?refer_flag=1001030103_,1,3426413795292194,阜平气象,2012年03月22日 16:16,0,0,0,22日全县范围内出现小到中雨，阜平气象局积极开展人工增雨作业，同时省人影办10-11时于我县上空开展飞机增雨作业，效果显著，西部山区降水量9.4毫米，县城降水量6.2毫米，在保定地区降水量最大。根据预报，23日将出现4-5级大风天气。 ​,[],[]
